author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/304250452/,Москва,sale,flat,14,38,4,175.0,-1,0,68000000.0,Щукино,Авиационная ,77к2,Щукинская,Алые Паруса
Сергей Черных,realtor,https://www.cian.ru/sale/flat/306445585/,Москва,sale,flat,4,12,2,40.0,-1,0,14800000.0,Очаково-Матвеевское,Очаковское шоссе,4К2,Аминьевская,
КОРТРОС,developer,https://www.cian.ru/sale/flat/307707075/,Москва,sale,flat,2,26,4,75.3,-1,0,32680200.0,Останкинский,,,Алексеевская,АйЛав ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/302537359/,Москва,sale,flat,2,14,3,120.0,-1,0,99000000.0,Замоскворечье,Мытная ,7с2,Серпуховская,Английский квартал
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307343678/,Москва,sale,flat,2,5,4,105.2,-1,0,88000000.0,Хамовники,Барыковский переулок,5,Кропоткинская,
MR Group,developer,https://www.cian.ru/sale/flat/306515743/,Москва,sale,flat,36,48,4,94.69,-1,0,34426313.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к1,Трикотажная,City Bay
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302555944/,Москва,sale,flat,5,11,3,105.0,-1,0,99999000.0,Тверской,1-я Тверская-Ямская ,36С1,Белорусская,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/305913440/,Москва,sale,flat,4,9,3,61.6,-1,0,19000000.0,Северное Измайлово,16-я Парковая ,49К2,Щёлковская,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,-1,0,51812800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307703173/,Москва,sale,flat,6,22,2,85.0,-1,0,52000000.0,Пресненский,Шмитовский проезд,16С2,Улица 1905 года,Шмитовский 16
