author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/289181283/,Уфа,sale,flat,12,20,2,53.0,-1,0,7500000,Октябрьский, Маршала Жукова,25,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/290275178/,Уфа,sale,flat,5,9,2,44.6,-1,0,3100000,Орджоникидзевский, Шота Руставели,28,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/302077210/,Уфа,sale,flat,15,31,1,45.08,-1,0,8117150,Октябрьский,Глумилино-1 мкр,,,Тау Хаус ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/279197667/,Уфа,sale,flat,19,25,2,39.5,-1,0,4920000,Октябрьский, Воинов-Интернационалистов,7,,Микрорайон 
ID 106278022,homeowner,https://ufa.cian.ru/sale/flat/306547295/,Уфа,sale,flat,3,9,3,63.2,-1,0,7200000,Кировский, Рабкоров,10А,,
СтроиТЭК,developer,https://ufa.cian.ru/sale/flat/306613167/,Уфа,sale,flat,4,25,1,37.58,-1,0,5647898,Кировский, Бородинская,19/1,,SVOBODA
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294440359/,Уфа,sale,flat,1,9,3,64.2,-1,0,5550000,Октябрьский, Юрия Гагарина,70,,
ID 11148824,realtor,https://ufa.cian.ru/sale/flat/303983529/,Уфа,sale,flat,8,9,4,104.8,-1,0,10900000,Советский,проспект Октября,15/1,,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/306834764/,Уфа,sale,flat,3,32,2,35.48,-1,0,5694500,Октябрьский,Глумилино-1 мкр,,,8 NEBO
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294766711/,Уфа,sale,flat,5,9,3,71.5,-1,0,6400900,Октябрьский, Менделеева,201,,
